,Route,RSP,REP,DepTime
0,A1,South,North,2023-03-17 19:00:00
0,A1,South,North,2023-03-17 19:10:00
0,A1,South,North,2023-03-17 19:20:00
0,A1,South,North,2023-03-17 19:30:00
0,A1,South,North,2023-03-17 19:40:00
0,A1,South,North,2023-03-17 19:50:00
0,A1,South,North,2023-03-17 20:00:00
0,A1,South,North,2023-03-17 20:10:00
0,A1,South,North,2023-03-17 20:20:00
0,A1,South,North,2023-03-17 20:30:00
0,A1,South,North,2023-03-17 20:40:00
0,A1,South,North,2023-03-17 20:50:00
0,A1,South,North,2023-03-17 21:00:00
0,A1,South,North,2023-03-17 21:10:00
0,A1,South,North,2023-03-17 21:20:00
0,A1,South,North,2023-03-17 21:30:00
0,A1,South,North,2023-03-17 21:40:00
0,A1,South,North,2023-03-17 21:50:00
0,A1,South,North,2023-03-17 22:00:00
